"sum","time","diff"
"10","1750265170612","1"
"10","1750265171602","-1"
"20","1750265171602","1"
"20","1750265172602","-1"
"30","1750265172602","1"
"30","1750265173602","-1"
"40","1750265173602","1"
"40","1750265174602","-1"
"50","1750265174602","1"
"50","1750265175602","-1"
"60","1750265175602","1"
"60","1750265176602","-1"
"70","1750265176602","1"
"70","1750265177602","-1"
"80","1750265177602","1"
"80","1750265178602","-1"
"90","1750265178602","1"
"90","1750265179602","-1"
"100","1750265179602","1"
"100","1750265180602","-1"
"110","1750265180602","1"
"110","1750265181602","-1"
"120","1750265181602","1"
"120","1750265182602","-1"
"130","1750265182602","1"
"130","1750265183602","-1"
"140","1750265183602","1"
"140","1750265184602","-1"
"150","1750265184602","1"
"150","1750265185602","-1"
"160","1750265185602","1"
"160","1750265186602","-1"
"170","1750265186602","1"
"170","1750265187602","-1"
"179","1750265187602","1"
"179","1750265188602","-1"
"189","1750265188602","1"
"189","1750265189602","-1"
"199","1750265189602","1"
"199","1750265190602","-1"
"209","1750265190602","1"
"209","1750265191602","-1"
"219","1750265191602","1"
"219","1750265192602","-1"
"229","1750265192602","1"
"229","1750265193602","-1"
"239","1750265193602","1"
"239","1750265194602","-1"
"249","1750265194602","1"
"249","1750265195602","-1"
"259","1750265195602","1"
"259","1750265196602","-1"
"269","1750265196602","1"
"269","1750265197602","-1"
"279","1750265197602","1"
"279","1750265198602","-1"
"289","1750265198602","1"
"289","1750265199602","-1"
"299","1750265199602","1"
"299","1750265200602","-1"
"309","1750265200602","1"
"309","1750265201602","-1"
"319","1750265201602","1"
"319","1750265202602","-1"
"329","1750265202602","1"
"329","1750265203602","-1"
"339","1750265203602","1"
"339","1750265204602","-1"
"349","1750265204602","1"
"349","1750265205602","-1"
"359","1750265205602","1"
"359","1750265206602","-1"
"369","1750265206602","1"
"369","1750265207602","-1"
"378","1750265207602","1"
"378","1750265208602","-1"
"388","1750265208602","1"
"388","1750265209602","-1"
"398","1750265209602","1"
"398","1750265210602","-1"
"408","1750265210602","1"
"408","1750265211602","-1"
"418","1750265211602","1"
"418","1750265212602","-1"
"428","1750265212602","1"
"428","1750265213602","-1"
"438","1750265213602","1"
"438","1750265214602","-1"
"448","1750265214602","1"
"448","1750265215602","-1"
"458","1750265215602","1"
"458","1750265216602","-1"
"468","1750265216602","1"
"468","1750265217602","-1"
"478","1750265217602","1"
"478","1750265218602","-1"
"488","1750265218602","1"
"488","1750265219602","-1"
"498","1750265219602","1"
"498","1750265220602","-1"
"508","1750265220602","1"
"508","1750265221602","-1"
"518","1750265221602","1"
"518","1750265222602","-1"
"528","1750265222602","1"
"528","1750265223602","-1"
"538","1750265223602","1"
"538","1750265224602","-1"
"548","1750265224602","1"
"548","1750265225602","-1"
"558","1750265225602","1"
"558","1750265226602","-1"
"568","1750265226602","1"
"568","1750265227602","-1"
"578","1750265227602","1"
"578","1750265228602","-1"
"587","1750265228602","1"
"587","1750265229602","-1"
"597","1750265229602","1"
"597","1750265230602","-1"
"607","1750265230602","1"
"607","1750265231602","-1"
"617","1750265231602","1"
"617","1750265232602","-1"
"627","1750265232602","1"
"627","1750265233602","-1"
"637","1750265233602","1"
"637","1750265234602","-1"
"647","1750265234602","1"
"647","1750265235602","-1"
"657","1750265235602","1"
"657","1750265236602","-1"
"667","1750265236602","1"
"667","1750265237602","-1"
"677","1750265237602","1"
"677","1750265238602","-1"
"687","1750265238602","1"
"687","1750265239602","-1"
"697","1750265239602","1"
"697","1750265240602","-1"
"707","1750265240602","1"
"707","1750265241602","-1"
"717","1750265241602","1"
"717","1750265242602","-1"
"727","1750265242602","1"
"727","1750265243602","-1"
"737","1750265243602","1"
"737","1750265244602","-1"
"747","1750265244602","1"
"747","1750265245602","-1"
"757","1750265245602","1"
"757","1750265246602","-1"
"766","1750265246602","1"
"766","1750265247602","-1"
"776","1750265247602","1"
"776","1750265248602","-1"
"786","1750265248602","1"
"786","1750265249606","-1"
"796","1750265249606","1"
"796","1750265250610","-1"
"806","1750265250610","1"
"806","1750265251602","-1"
"816","1750265251602","1"
"816","1750265252602","-1"
"826","1750265252602","1"
"826","1750265253602","-1"
"836","1750265253602","1"
"836","1750265254602","-1"
"846","1750265254602","1"
"846","1750265255602","-1"
"856","1750265255602","1"
"856","1750265256602","-1"
"866","1750265256602","1"
"866","1750265257602","-1"
"876","1750265257602","1"
"876","1750265258602","-1"
"886","1750265258602","1"
"886","1750265259604","-1"
"896","1750265259604","1"
"896","1750265260602","-1"
"906","1750265260602","1"
"906","1750265261602","-1"
"916","1750265261602","1"
"916","1750265262602","-1"
"926","1750265262602","1"
"926","1750265263602","-1"
"936","1750265263602","1"
"936","1750265264602","-1"
"946","1750265264602","1"
"946","1750265265602","-1"
"955","1750265265602","1"
"955","1750265266602","-1"
"965","1750265266602","1"
"965","1750265267602","-1"
"975","1750265267602","1"
"975","1750265268602","-1"
"985","1750265268602","1"
"985","1750265269602","-1"
"995","1750265269602","1"
"995","1750265270602","-1"
"1005","1750265270602","1"
"1005","1750265271602","-1"
"1015","1750265271602","1"
"1015","1750265272602","-1"
"1025","1750265272602","1"
"1025","1750265273602","-1"
"1035","1750265273602","1"
"1035","1750265274602","-1"
"1045","1750265274602","1"
"1045","1750265275602","-1"
"1055","1750265275602","1"
"1055","1750265276602","-1"
"1065","1750265276602","1"
"1065","1750265277602","-1"
"1075","1750265277602","1"
"1075","1750265278602","-1"
"1085","1750265278602","1"
"1085","1750265279602","-1"
"1095","1750265279602","1"
"1095","1750265280602","-1"
"1105","1750265280602","1"
"1105","1750265281602","-1"
"1115","1750265281602","1"
"1115","1750265282602","-1"
"1125","1750265282602","1"
"1125","1750265283602","-1"
"1135","1750265283602","1"
"1135","1750265284602","-1"
"1144","1750265284602","1"
"1144","1750265285602","-1"
"1154","1750265285602","1"
"1154","1750265286602","-1"
"1164","1750265286602","1"
"1164","1750265287602","-1"
"1174","1750265287602","1"
"1174","1750265288602","-1"
"1184","1750265288602","1"
"1184","1750265289602","-1"
"1194","1750265289602","1"
"1194","1750265290602","-1"
"1204","1750265290602","1"
"1204","1750265291602","-1"
